Dish Name,Genre,Ingredients,Steps
Paneer Butter Masala,Curry,"Paneer, tomatoes, cream, butter, cashews, onions, ginger-garlic paste, garam masala, red chili powder","1. Heat butter, sauté onions until golden. 2. Add ginger-garlic paste, cook till raw smell disappears. 3. Add chopped tomatoes and cashews, cook until soft. 4. Blend the mixture into a smooth paste. 5. Heat more butter, add blended paste, and cook for 5 minutes. 6. Add garam masala, red chili powder, and salt. 7. Add paneer cubes and mix well. 8. Pour in cream and stir gently. 9. Simmer for 2 minutes. 10. Serve hot with naan or rice."
Pav Bhaji,Snack,"Potatoes, tomatoes, onions, capsicum, butter, pav bhaji masala, ginger-garlic paste, green peas, pav (bread rolls)","1. Boil potatoes and mash them. 2. Sauté onions, capsicum, and green peas in butter. 3. Add tomatoes and cook till soft. 4. Mash everything together. 5. Add pav bhaji masala and salt. 6. Simmer for 10 minutes. 7. Toast pav with butter. 8. Serve bhaji with buttered pav and chopped onions."
Aloo Tikki,Snack,"Potatoes, bread crumbs, green chilies, coriander, garam masala, salt, oil","1. Boil and mash potatoes. 2. Mix with bread crumbs, chopped chilies, coriander, garam masala, and salt. 3. Shape into patties. 4. Shallow fry in oil until golden brown. 5. Serve hot with chutney."
Vada Pav,Snack,"Potatoes, gram flour, garlic, mustard seeds, green chilies, pav (bread rolls), oil","1. Boil and mash potatoes. 2. Mix with garlic, mustard seeds, green chilies, and salt. 3. Make small balls, coat with gram flour batter. 4. Deep fry till golden. 5. Serve in pav with chutneys."
Dahi Puri,Chaat,"Puri, boiled potatoes, chickpeas, yogurt, tamarind chutney, sev, chaat masala",1. Crack puris and fill with potatoes and chickpeas. 2. Pour yogurt and tamarind chutney. 3. Sprinkle chaat masala and sev. 4. Serve immediately.
Pani Puri,Chaat,"Puri, mashed potatoes, boiled chickpeas, tamarind chutney, mint water",1. Crack puris slightly. 2. Fill with mashed potatoes and chickpeas. 3. Add tamarind chutney. 4. Dip into mint water and serve.
Sev Puri,Chaat,"Puri, boiled potatoes, chopped onions, tomatoes, tamarind chutney, green chutney, sev","1. Arrange puris on a plate. 2. Top with potatoes, onions, and tomatoes. 3. Drizzle tamarind and green chutney. 4. Sprinkle sev and chaat masala. 5. Serve immediately."
Misal Pav,Curry,"Sprouted moth beans, onions, tomatoes, goda masala, farsan, pav (bread rolls)","1. Cook sprouted moth beans with onions, tomatoes, and goda masala. 2. Simmer for 10 minutes. 3. Serve with farsan and chopped onions. 4. Eat with pav."
Dabeli,Snack,"Pav (bread rolls), mashed potatoes, dabeli masala, peanuts, pomegranate, tamarind chutney",1. Mix mashed potatoes with dabeli masala. 2. Spread on pav and add peanuts and pomegranate. 3. Drizzle tamarind chutney. 4. Serve with sev.
Momos,Snack,"Flour, cabbage, carrots, garlic, soy sauce, oil","1. Knead flour with water to make dough. 2. Mix grated cabbage, carrots, garlic, and soy sauce for filling. 3. Shape into dumplings. 4. Steam for 10 minutes. 5. Serve with spicy sauce."
Paneer Butter Masala,Curry,"Paneer, tomatoes, cream, butter, cashews, onions, ginger-garlic paste, garam masala, red chili powder","1. Heat butter, sauté onions until golden. 2. Add ginger-garlic paste, cook till raw smell disappears. 3. Add chopped tomatoes and cashews, cook until soft. 4. Blend the mixture into a smooth paste. 5. Heat more butter, add blended paste, and cook for 5 minutes. 6. Add garam masala, red chili powder, and salt. 7. Add paneer cubes and mix well. 8. Pour in cream and stir gently. 9. Simmer for 2 minutes. 10. Serve hot with naan or rice."
Chana Masala,Curry,"Chickpeas, onions, tomatoes, ginger-garlic paste, cumin, garam masala, coriander, turmeric","1. Soak and boil chickpeas until tender. 2. Sauté onions until golden. 3. Add ginger-garlic paste and cook. 4. Add tomatoes and spices, cook until oil separates. 5. Add chickpeas and simmer for 15 minutes. 6. Garnish with coriander and serve with rice or roti."
Aloo Matar,Curry,"Potatoes, green peas, onions, tomatoes, ginger-garlic paste, garam masala, cumin, turmeric","1. Sauté onions until golden. 2. Add ginger-garlic paste, cook till raw smell disappears. 3. Add tomatoes and cook until soft. 4. Add spices, potatoes, and peas. 5. Add water and simmer until potatoes are cooked. 6. Serve hot with rice or roti."
Dal Tadka,Curry,"Lentils, onions, tomatoes, garlic, cumin, mustard seeds, turmeric, red chili powder","1. Boil lentils with turmeric until soft. 2. Sauté onions, tomatoes, and garlic. 3. Add cooked lentils and simmer. 4. Prepare tempering with mustard seeds and red chili powder. 5. Pour tempering over dal and serve with rice."
Baingan Bharta,Curry,"Eggplant, tomatoes, onions, garlic, green chilies, cumin, coriander, garam masala","1. Roast eggplant over flame, peel and mash. 2. Sauté onions, garlic, and green chilies. 3. Add tomatoes and cook until soft. 4. Add mashed eggplant and spices. 5. Cook for 5 minutes and serve hot with roti."
Methi Malai Matar,Curry,"Fenugreek leaves, green peas, cream, onions, cashews, ginger-garlic paste, garam masala","1. Blanch fenugreek leaves and set aside. 2. Sauté onions and cashews. 3. Blend into a smooth paste. 4. Heat butter, add paste and cook. 5. Add peas, fenugreek, and cream. 6. Simmer and serve hot."
Rajma Masala,Curry,"Kidney beans, onions, tomatoes, ginger-garlic paste, garam masala, cumin, coriander","1. Soak and boil kidney beans until soft. 2. Sauté onions until golden. 3. Add ginger-garlic paste and cook. 4. Add tomatoes and spices, cook until oil separates. 5. Add kidney beans and simmer for 20 minutes. 6. Serve with rice."
Bhindi Masala,Curry,"Okra, onions, tomatoes, cumin, coriander, garam masala, turmeric",1. Cut and dry okra. 2. Sauté onions until golden. 3. Add tomatoes and cook until soft. 4. Add okra and spices. 5. Cook until okra is tender. 6. Serve with roti.
Kadhi Pakora,Curry,"Gram flour, yogurt, onions, mustard seeds, curry leaves, turmeric, red chili powder",1. Mix gram flour and yogurt with water to form a batter. 2. Cook with mustard seeds and curry leaves. 3. Add turmeric and red chili powder. 4. Simmer for 15 minutes. 5. Prepare pakoras and add to kadhi. 6. Serve with rice.
Malai Kofta,Curry,"Paneer, potatoes, cream, cashews, onions, tomatoes, garam masala, ginger-garlic paste","1. Mash paneer and potatoes, shape into koftas. 2. Deep fry until golden. 3. Sauté onions, cashews, and tomatoes. 4. Blend into a smooth paste. 5. Cook paste with garam masala and cream. 6. Add koftas and serve hot."
Gulab Jamun,Dessert,"Khoya, sugar, cardamom, milk, flour, rose water, ghee","1. Mix khoya, flour, and milk to form a soft dough. 2. Make small balls and deep fry in ghee until golden brown. 3. Prepare sugar syrup with cardamom and rose water. 4. Soak fried balls in syrup for 1-2 hours. 5. Serve warm."
Rasgulla,Dessert,"Milk, lemon juice, sugar, water, cardamom","1. Boil milk and add lemon juice to curdle. 2. Strain and rinse curdled milk, then knead into smooth dough. 3. Make small balls and boil in sugar syrup. 4. Let them soak and cool. 5. Serve chilled."
Kheer,Dessert,"Rice, milk, sugar, cardamom, saffron, almonds, cashews","1. Boil milk and add washed rice. 2. Cook on low heat until rice softens. 3. Add sugar, cardamom, and saffron. 4. Stir and cook until thickened. 5. Garnish with almonds and cashews. 6. Serve warm or chilled."
Jalebi,Dessert,"Flour, yogurt, sugar, saffron, ghee, cardamom","1. Make a thick batter with flour and yogurt, let it ferment overnight. 2. Heat ghee and pipe batter into spirals. 3. Fry until crispy and golden. 4. Dip into warm sugar syrup. 5. Serve hot."
Mysore Pak,Dessert,"Gram flour, sugar, ghee, cardamom",1. Heat ghee and roast gram flour until fragrant. 2. Prepare sugar syrup and mix with roasted flour. 3. Stir continuously until thickens. 4. Pour into greased tray and let set. 5. Cut into pieces and serve.
Modak,Dessert,"Rice flour, coconut, jaggery, cardamom, ghee","1. Make dough with rice flour and hot water. 2. Prepare stuffing with coconut, jaggery, and cardamom. 3. Shape into dumplings and fill with stuffing. 4. Steam for 10-15 minutes. 5. Serve warm with ghee."
Halwa,Dessert,"Semolina, ghee, sugar, milk, cardamom, nuts",1. Roast semolina in ghee until golden. 2. Add warm milk and cook while stirring. 3. Add sugar and cardamom. 4. Cook until thickened. 5. Garnish with nuts and serve.
Rasmalai,Dessert,"Milk, paneer, sugar, cardamom, saffron, nuts","1. Prepare paneer and shape into discs. 2. Boil in sugar syrup until soft. 3. Prepare thickened milk with sugar, saffron, and cardamom. 4. Soak paneer discs in milk. 5. Garnish with nuts and serve chilled."
Barfi,Dessert,"Milk, sugar, cardamom, ghee, nuts","1. Heat milk and sugar, cook until thick. 2. Add cardamom and ghee. 3. Stir continuously until mixture thickens. 4. Pour into greased tray and let set. 5. Cut into pieces and serve."
Shrikhand,Dessert,"Hung curd, sugar, saffron, cardamom, nuts",1. Mix hung curd with sugar until smooth. 2. Add saffron and cardamom. 3. Mix well and refrigerate. 4. Garnish with nuts before serving. 5. Serve chilled.
Naan,Flatbread,"All-purpose flour, yogurt, yeast, sugar, salt, milk, butter","1. Activate yeast with warm milk and sugar. 2. Mix flour, salt, and yogurt; add yeast mixture. 3. Knead into a soft dough and let it rise for 2 hours. 4. Roll out dough into oval shapes. 5. Cook on a hot tawa or in an oven. 6. Brush with butter and serve hot."
Roti,Flatbread,"Whole wheat flour, water, salt",1. Mix flour and salt; gradually add water. 2. Knead into a soft dough and rest for 30 minutes. 3. Divide into small balls and roll into thin circles. 4. Cook on a hot tawa until golden brown on both sides. 5. Serve warm with curry or dal.
Paratha,Stuffed Flatbread,"Whole wheat flour, water, salt, butter/ghee, stuffing (potatoes/spinach/paneer)","1. Mix flour and water to make dough; rest for 30 minutes. 2. Roll out dough, add stuffing, fold and seal. 3. Roll out again and cook on a tawa with ghee. 4. Cook until golden brown and crispy. 5. Serve hot with yogurt or pickle."
Bhature,Deep-fried Bread,"All-purpose flour, yogurt, baking soda, salt, oil","1. Mix flour, salt, baking soda, and yogurt to form dough. 2. Rest for 2 hours. 3. Roll out into thick circles. 4. Deep-fry until golden and puffed up. 5. Serve hot with chole (chickpea curry)."
